GDP,HOUS_SAV,GDP_ID,TAX_REV,TAX_INC,SOC_CON,POP_TER,COST_STARTUP,ADJ_NET_INC,UNEMPLOY,TEA,TEAF
41723.84483,1.5,1.2,34.401,7.617,11.643,44.25,3.9,23216.4,14.10602,6.15,0.94
40542.18459,1.517563916,1.243228001,34.401,7.617,11.643,44.259609,4,23216.4,15.25788,6.39,0.89
39626.84667,1.150234434,1.210406265,33.683,7.343,11.455,42.644691,4.3,23216.4,17.22489,6.19,0.82
37309.86592,2.827930347,1.19047619,33.29,7.109,11.284,40.980919,4.3,22018.8,19.63388,5.23,0.81
34938.58146,3.032657614,1.222357297,33.627,7.181,11.27,40.959778,4.4,21307.2,22.05655,5.7,0.79
33544.35201,2.14363402,1.242131185,33.593,7.557,11.511,41.477402,4.5,24176.8,24.44284,5.47,0.72
32452.65968,3.861528187,1.275231392,32.914,7.494,11.28,41.089592,5,23746.4,26.0919,5.21,0.67
31724.63151,2.095337455,1.298770225,32.129,7.417,11.48,40.386406,4.7,23291.9,24.78815,5.7,0.54
31872.36309,5.783668271,1.333407404,31.174,7.131,11.74,40.311493,4.7,25696.6,21.39048,5.81,0.64
31713.6969,4.938832859,1.359963886,31.211,6.834,11.705,40.312317,15.1,25097.8,19.8598,4.31,0.59
32120.08031,6.833782011,1.363636217,29.708,6.541,11.793,39.458729,15,26397.5,17.85731,5.1,0.62
33242.24543,2.964262937,1.324997724,32.105,6.938,11.792,40.047447,14.9,29024.3,11.2443,7.03,0.74
32429.20399,0.667466879,1.240528758,36.358,7.428,11.764,40.025246,15.1,26876.5,8.231978,7.62,0.56
30708.61697,2.272237015,1.177022035,35.932,6.898,11.752,40.32674,16.2,23671,8.454682,7.27,0.65
27600.93718,4.175568866,1.099562628,35.143,6.44,11.754,40.703537,16.5,22186.7,9.151379,5.65,0.58
26158.15321,4.993926741,1.040886185,34.099,6.243,11.785,38.99802,17,21086.5,10.96565,5.15,0.39
25013.67592,7.019379674,1.023729785,33.124,6.172,11.766,37.90205,16.8,18313.3,11.48588,6.65,0.43
24376.32871,6.031331648,0.959711668,33.227,6.678,11.715,37.484509,16.8,14468.6,11.44908,4.59,0.39
23006.50386,6.407824728,0.888333692,32.838,6.496,11.753,35.42757,16.8,13059.5,10.54965,6.32,0.71
43889.22045,2.451367774,1.392397362,42.051,10.77,13.093,27.726679,13.8,26537.35914,9.951369,2.79,0.6
42790.06019,2.451367774,1.392397362,42.051,10.77,13.093,27.726679,14.1,26537.35914,10.60792,4.18,0.51
41784.60378,2.537352202,1.370126992,42.133,10.823,12.772,26.816479,14.1,26537.35914,11.21117,4.28,0.38
